the_geom,site,description,latitude,longitude,field_5,field_6,field_7,field_8,fecaldescriptiveperstation_average_of_fecal_conform,max,min,count,mean,fecaldescriptiveperstation_percent_safe,percentunsafe,cartodb_id,created_at,updated_at
0101000020E61000001EFB592C457852C04EEFE2FDB8534440,HC1,Hendrix Creek head,-73.879222,40.654083,,,,,,200000,1,171,7023,0.83,0.17,30,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E610000078D2C265157852C03333333333534440,HC2,Hendrix Creek 26 Wards outfall,-73.876306,40.65,,,,,98.56,8000,1,172,99,0.99,0.01,31,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E6100000B4DC9909867752C01155F833BC514440,HC3,Hendrix Creek Mouth,-73.867556,40.638556,,,,,,,,,,,,32,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E61000006C3656629E7852C0D95BCAF962494440,J1,Rockaway Inlet,-73.884667,40.573333,,,,,91.05,2000,1,174,91,0.97,0.03,33,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E61000009A999999997952C086A3AB74774F4440,J10,Paerdegat Basin,-73.9,40.620833,,,,,427.44,14900,1,119,427,0.97,0.03,34,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E6100000E02BBAF59A7B52C0CA147310744A4440,J11,Sheepshead Bay,-73.931333,40.581667,,,,,234.33,3960,1,171,234,0.96,0.04,35,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E6100000DF2BBAF59A7352C01B2FDD2406514440,J12,Grassy Bay,-73.806333,40.633,,,,,304.73,4000,1,171,305,0.95,0.05,36,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E610000077BCC96FD17452C02FA704C4244E4440,J14,West of Broad Channel,-73.825283,40.610497,,,,,18.13,156,1,90,18,1,0,37,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E610000086AA984A3F7652C0787AA52C434E4440,J16,Horse Channel,-73.847613,40.611425,,,,,83.36,2100,1,90,83,0.98,0.02,38,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E6100000ED2DE57CB17852C0FE47A643A74D4440,J2,Mill Basin,-73.885833,40.606667,,,,,165.36,2500,1,173,165,0.94,0.06,39,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E610000017B5FB55807852C0C74B378941504440,J3,Canarsie,-73.882833,40.627,,,,,278.63,5000,1,171,279,0.93,0.07,40,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E6100000B29DEFA7C67352C000732D5A804C4440,J5,A train Trestle,-73.809,40.597667,,,,,65.75,1480,1,173,66,0.99,0.01,41,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E6100000909E2287887452C0C90391459A524440,J7,Bergen Basin,-73.820833,40.645333,,,,,788.99,9600,2,170,789,0.8,0.2,42,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E6100000CE1B2785797652C011E50B5A48524440,J8,Spring Creek,-73.851167,40.642833,,,,,566.34,16100,4,169,566,0.88,0.12,43,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E61000000B26FE28EA7752C01310937021514440,J9A,Fr. Crk. Bouy C21,-73.873667,40.633833,,,,,296.19,6800,1,171,296,0.94,0.06,44,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E6100000D65416855D8552C02D25CB4928534440,K1,St. George,-74.083833,40.649667,,,,,142.57,2600,1,160,143,0.97,0.03,45,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E61000006F1283C0CA8952C02123A0C211524440,K2,Shooters Island,-74.153,40.641167,,,,,169.29,2360,2,159,169,0.96,0.04,46,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E6100000909E2287888C52C09A99999999514440,K3,A & K Railroad Bridge,-74.195833,40.6375,,,,,745.01,20000,2,159,745,0.84,0.16,47,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E61000001DA9BEF38B8D52C07F6ABC7493484440,K4,Fresh Kills ,-74.211667,40.567,,,,,246.19,4000,2,159,246,0.95,0.05,48,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E6100000098849B8909052C01310937021414440,K5,Tottenville,-74.258833,40.508833,,,,,83.98,1760,2,159,84,0.99,0.01,49,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E6100000C4D155BABB8F52C0BC749318043E4440,K5A,Raritan River,-74.245833,40.4845,,,,,86.9,2000,1,159,87,0.99,0.01,50,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E6100000E256410C748652C0E8887C9752414440,K6,Orchard Light,-74.100833,40.510333,,,,,20.23,412,1,159,20,1,0,51,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E6100000EC2DE57CB17052C0DD24068195634440,LN1,Little Neck Bay South,-73.760833,40.778,,,,,124.59,2000,1,162,125,0.98,0.02,52,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E61000002AABE97AA27A52C0931804560E754440,N1,Mt. St. Vincent,-73.916167,40.9145,,,,,96.78,2120,1,179,97,0.99,0.01,53,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E61000001FD4450A657C52C09E62D520CC434440,N16,SI-FI-W Gong,-73.943667,40.529667,,,,,9.23,484,1,162,9,1,0,54,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E6100000F82F1004C87D52C0213D450E11694440,N3B,125th Street,-73.965333,40.820833,,,,,123.48,1780,1,178,123,0.98,0.02,55,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E6100000340F60915F8052C060E5D022DB614440,N4,42nd Street,-74.005833,40.7645,,,,,208.03,4000,1,178,208,0.98,0.02,56,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
0101000020E610000052B81E85EB8152C01904560E2D5A4440,N5,Pier A-The Battery,-74.03,40.7045,,,,,373.07,22000,1,178,373,0.96,0.04,57,2014-09-13 03:20:56.301569+00,2014-09-13 03:20:56.301569+00
